"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Left,Right";"mors_3p";2;"";;;
2;"J2";"pin_array_4x2reversed";1;"";;;
3;"J1";"pin_array_13x2";1;"";;;
4;"C1,C2,C3,C7";"SM0805";4;"1.0uF";;;
5;"C4";"SM0805";1;"470pF";;;
6;"C5,C12,C15,C19";"SM0805";4;"10uF";;;
7;"C6";"SM0805";1;"2.2uF";;;
8;"C8,C9";"SM0805";2;"220uF";;;
9;"C10,C13,C16";"SM0805";3;"100n";;;
10;"C11,C18";"SM0805";2;"100nF";;;
11;"C14,C17";"SM0805";2;"18pF";;;
12;"L1,L2";"SM0805";2;"10uH";;;
13;"DC IN";"dc_socket";1;"9V DC";;;
14;"";"mors_3p";1;"Headphone Out";;;
15;"P4";"mors_3p";1;"Line In";;;
16;"P5";"pin_array_3x2";1;"MODE SET";;;
17;"R1";"SM0805";1;"1600";;;
18;"R2,R3,R4,R10,R12";"SM0805";5;"10k";;;
19;"R5,R6,R7,R8,R9,R11";"SM0805";6;"220";;;
20;"U1";"sot23-5";1;"MIC5207BM5";;;
21;"U2";"sot223";1;"MIC39100-5.0";;;
22;"U3";"SOT23-5";1;"";;;
23;"U4";"SO8E";1;"";;;
24;"U5";"ssop-28";1;"";;;
25;"U6,U7";"SO8E";2;"DRV135";;;
26;"X1";"crystal_hc-49/smd";1;"12.288MHz";;;
27;",,,,,,,";"SM0805";8;"";;;
